1.00,539.00,334000.00,2.00
1.00,588.00,120000.00,2.00
1.00,610.00,93675.00,2.00
1.00,611.00,60000.00,1.00
1.00,623.00,62050.00,2.00
1.00,625.00,100000.00,1.00
1.00,682.00,107666.00,1.00
1.00,696.00,121725.00,3.00
1.00,722.00,98000.00,1.00
1.00,722.00,100000.00,1.00
1.00,722.00,145000.00,2.00
1.00,723.00,207000.00,2.00
1.00,746.00,78400.00,2.00
1.00,756.00,230522.00,2.00
1.00,760.00,150000.00,1.00
1.00,779.00,114750.00,2.00
1.00,780.00,127000.00,2.00
1.00,795.00,69000.00,2.00
1.00,795.00,82732.00,2.00
1.00,795.00,90000.00,2.00
1.00,795.00,116250.00,2.00
1.00,795.00,126960.00,2.00
1.00,795.00,207973.00,2.00
1.00,796.00,65000.00,2.00
1.00,796.00,68880.00,2.00
1.00,796.00,190000.00,2.00
1.00,797.00,81900.00,2.00
1.00,800.00,78000.00,2.00
1.00,800.00,104250.00,2.00
1.00,804.00,120000.00,2.00
1.00,810.00,108000.00,2.00
1.00,810.00,156000.00,2.00
1.00,832.00,96140.00,2.00
1.00,834.00,68000.00,2.00
1.00,834.00,68000.00,2.00
1.00,836.00,59222.00,2.00
2.00,836.00,115000.00,2.00
1.00,838.00,55422.00,2.00
1.00,840.00,71000.00,2.00
1.00,844.00,113263.00,2.00
1.00,846.00,115000.00,1.00
1.00,852.00,69307.00,2.00
1.00,861.00,75000.00,2.00
1.00,864.00,68566.00,2.00
1.00,868.00,90000.00,2.00
1.00,871.00,106852.00,1.00
1.00,876.00,61000.00,2.00
1.00,881.00,165000.00,2.00
1.00,884.00,147000.00,2.00
1.00,888.00,101000.00,2.00
1.00,888.00,125000.00,3.00
1.00,888.00,216021.00,3.00
1.00,900.00,71000.00,2.00
2.00,901.00,121500.00,2.00
2.00,901.00,125000.00,3.00
1.00,904.00,63000.00,2.00
1.00,904.00,65000.00,2.00
1.00,904.00,157788.00,2.00
2.00,904.00,173056.00,2.00
1.00,906.00,77000.00,2.00
2.00,909.00,100309.00,3.00
1.00,911.00,115000.00,2.00
2.00,918.00,91000.00,2.00
1.00,924.00,77000.00,2.00
1.00,924.00,92000.00,3.00
1.00,924.00,150454.00,2.00
1.00,930.00,203000.00,2.00
1.00,932.00,65000.00,2.00
1.00,933.00,62000.00,2.00
1.00,936.00,200000.00,3.00
2.00,941.00,94905.00,2.00
1.00,948.00,211500.00,2.00
1.00,950.00,220000.00,2.00
1.00,952.00,134000.00,2.00
1.00,956.00,92000.00,2.00
1.00,957.00,129000.00,3.00
2.00,958.00,120000.00,2.00
1.00,958.00,244960.00,3.00
2.00,960.00,155000.00,3.00
1.00,960.00,185000.00,3.00
1.00,960.00,224252.00,3.00
2.00,960.00,285000.00,2.00
1.00,962.00,128687.00,3.00
1.00,963.00,127281.00,3.00
1.00,964.00,97500.00,2.00
1.00,966.00,114000.00,3.00
2.00,967.00,114800.00,2.00
1.00,970.00,61500.00,3.00
1.00,970.00,132000.00,2.00
1.00,972.00,125000.00,2.00
1.00,972.00,201000.00,3.00
1.00,975.00,271742.00,3.00
1.00,984.00,84675.00,2.00
1.00,984.00,210944.00,1.00
1.00,988.00,223139.00,3.00
2.00,990.00,66500.00,2.00
1.00,990.00,160000.00,2.00
2.00,994.00,142500.00,2.00
1.00,998.00,215100.00,3.00
1.00,1000.00,134000.00,3.00
2.00,1000.00,182000.00,2.00
1.00,1004.00,110000.00,3.00
2.00,1006.00,152000.00,2.00
2.00,1007.00,180000.00,2.00
1.00,1009.00,198000.00,3.00
1.00,1010.00,116000.00,3.00
1.00,1011.00,70000.00,2.00
1.00,1011.00,85000.00,2.00
1.00,1012.00,90000.00,3.00
1.00,1013.00,85000.00,3.00
1.00,1014.00,113000.00,3.00
1.00,1018.00,260014.00,3.00
1.00,1019.00,148750.00,3.00
1.00,1020.00,107502.00,3.00
2.00,1022.00,108750.00,2.00
1.00,1029.00,168750.00,3.00
1.00,1032.00,65000.00,2.00
1.00,1032.00,220000.00,2.00
1.00,1039.00,111000.00,3.00
2.00,1039.00,133000.00,2.00
2.00,1039.00,141000.00,2.00
1.00,1039.00,168000.00,3.00
1.00,1039.00,189000.00,3.00
2.00,1040.00,97750.00,3.00
1.00,1040.00,205000.00,2.00
1.00,1040.00,224000.00,3.00
2.00,1043.00,161250.00,2.00
1.00,1050.00,123225.00,3.00
1.00,1051.00,105000.00,3.00
1.00,1051.00,111000.00,3.00
2.00,1056.00,156896.00,3.00
1.00,1058.00,95000.00,3.00
1.00,1058.00,233641.00,3.00
1.00,1060.00,145000.00,3.00
2.00,1064.00,109000.00,4.00
1.00,1067.00,80000.00,3.00
1.00,1073.00,198000.00,3.00
2.00,1074.00,233000.00,3.00
2.00,1075.00,155800.00,3.00
1.00,1080.00,65000.00,2.00
1.00,1080.00,106716.00,3.00
2.00,1080.00,122000.00,3.00
2.00,1080.00,126000.00,3.00
1.00,1080.00,140000.00,3.00
1.00,1082.00,95000.00,3.00
2.00,1082.00,147308.00,3.00
1.00,1082.00,190000.00,3.00
2.00,1088.00,126640.00,3.00
2.00,1089.00,95625.00,3.00
2.00,1089.00,129500.00,3.00
2.00,1089.00,205000.00,2.00
2.00,1092.00,85500.00,3.00
2.00,1092.00,150000.00,3.00
2.00,1093.00,127059.00,3.00
2.00,1093.00,182000.00,3.00
2.00,1094.00,229000.00,3.00
1.00,1098.00,120108.00,3.00
2.00,1099.00,70000.00,4.00
2.00,1100.00,115000.00,2.00
2.00,1100.00,167000.00,3.00
1.00,1103.00,170000.00,3.00
2.00,1104.00,90895.00,3.00
2.00,1104.00,123000.00,3.00
2.00,1104.00,156000.00,3.00
2.00,1104.00,170000.00,3.00
1.00,1108.00,339000.00,3.00
2.00,1110.00,123750.00,3.00
2.00,1112.00,165000.00,2.00
2.00,1112.00,213697.00,2.00
2.00,1115.00,116000.00,3.00
1.00,1115.00,220000.00,2.00
2.00,1116.00,138750.00,3.00
2.00,1117.00,149000.00,3.00
2.00,1118.00,122000.00,3.00
2.00,1118.00,131750.00,2.00
2.00,1119.00,129000.00,3.00
2.00,1120.00,102750.00,4.00
2.00,1120.00,125000.00,3.00
2.00,1120.00,130000.00,3.00
2.00,1120.00,145000.00,3.00
1.00,1120.00,164000.00,4.00
2.00,1120.00,178000.00,3.00
2.00,1120.00,189000.00,4.00
2.00,1120.00,209000.00,3.00
1.00,1122.00,89921.00,3.00
2.00,1123.00,156000.00,2.00
2.00,1124.00,185833.00,3.00
1.00,1126.00,292024.00,2.00
2.00,1127.00,124000.00,4.00
2.00,1127.00,130000.00,3.00
2.00,1127.00,199900.00,3.00
2.00,1130.00,182750.00,3.00
2.00,1132.00,145000.00,2.00
2.00,1134.00,110700.00,2.00
